Company,R&D Spend,Marketing Spend,Admin Spend,Product Cost,Revenue,Profit
Company_1,129934,241980,43248,102304,448190,73643
Company_2,117234,227739,48554,128490,498127,73198
Company_3,132953,201788,42075,139659,501081,53065
Company_4,150460,180591,46920,197192,528357,75048
Company_5,115316,220946,31063,163913,417988,90992
Company_6,115317,211804,52132,116612,535554,60886
Company_7,151584,226855,50012,162150,337736,95727
Company_8,135348,219055,41829,111317,462206,87316
Company_9,110610,231486,56592,177067,470703,68986
Company_10,130851,183942,59375,138221,537999,77877
Company_11,110731,239521,33924,147659,501357,103974
Company_12,110685,205927,42372,183144,415666,91003
Company_13,124839,262257,42308,117820,440900,80131
Company_14,81734,179324,40600,115072,511920,76434
Company_15,85501,252078,58294,135410,495255,81149
Company_16,108754,205937,48061,175959,465252,72323
Company_17,99743,180457,47354,112016,471149,48428
Company_18,126284,185483,29961,79196,541770,110632
Company_19,101839,190389,56354,138721,468938,82329
Company_20,91753,212724,37607,163793,494714,85972
Company_21,149312,215685,50599,180006,630196,79131
Company_22,115484,182788,52773,138420,414579,68973
Company_23,121350,199269,63606,139714,388889,77211
Company_24,91505,264268,36911,178847,547015,56009
Company_25,109112,251826,19804,103256,459281,114156
Company_26,122218,213089,51838,140286,480905,61482
Company_27,96980,201140,68005,154760,453130,64520
Company_28,127513,203600,62389,161230,484411,73396
Company_29,107987,218405,52096,137254,595912,99321
Company_30,114166,169316,45083,150861,548127,80217
Company_31,107965,192278,58071,87791,551733,61457
Company_32,157045,149942,40264,133543,415026,98815
Company_33,119730,211976,54763,161337,430930,90965
Company_34,98845,219415,55054,125442,329655,88076
Company_35,136450,185504,60602,151474,451437,90736
Company_36,95583,247219,77596,161171,557402,115915
Company_37,124177,163227,53924,141436,531016,112776
Company_38,80806,156068,44910,154261,486709,69699
Company_39,93436,206733,49744,125931,498661,104358
Company_40,123937,231412,32309,144834,458666,85747
Company_41,134769,250517,43052,165255,512285,87486
Company_42,123427,186233,45907,153924,545952,54615
Company_43,117687,232360,44759,135336,403046,77444
Company_44,113977,198844,51523,155605,517978,67807
Company_45,90429,194821,41775,167865,555946,92420
Company_46,105603,226509,61210,98751,475093,96066
Company_47,110787,219569,50002,178976,542042,48882
Company_48,141142,152708,49906,141593,668879,79669
Company_49,126872,244296,46721,160637,493739,96827
Company_50,84739,241402,51551,179931,523598,77199
Company_51,126481,181233,58250,115708,455716,90935
Company_52,112298,211874,41328,132263,510875,85267
Company_53,106461,214820,43418,142786,527616,85124
Company_54,132233,207820,46962,130406,511690,75930
Company_55,140619,183490,36541,193373,438818,61751
Company_56,138625,179851,41807,128580,512381,63177
Company_57,103215,199233,45237,136111,587731,90640
Company_58,113815,235181,58743,155109,526918,80291
Company_59,126625,216308,52625,119946,557719,77922
Company_60,139510,188881,51935,140107,485779,73641
Company_61,110416,223150,58508,157936,544994,75422
Company_62,116286,114543,48626,141678,516756,95703
Company_63,97873,234462,53904,147665,442945,74971
Company_64,96075,147808,48967,136766,519111,59884
Company_65,136250,189126,52653,112138,440498,91154
Company_66,147124,166409,44172,158039,462027,76926
Company_67,118559,161159,25611,193873,511359,80470
Company_68,140070,234824,48657,150460,517834,104113
Company_69,127232,185968,64227,155631,428646,79691
Company_70,107097,210395,59262,167318,563239,84337
Company_71,127227,198592,59653,118266,534320,62316
Company_72,150760,214311,62361,192562,457716,76704
Company_73,119283,202304,50886,155058,407744,89142
Company_74,151292,161510,51973,190796,491305,56669
Company_75,67605,229888,43823,131674,473243,83012
Company_76,136438,185187,46839,195451,506788,81511
Company_77,121740,153302,56157,169378,478213,80619
Company_78,114019,187156,62038,163826,379552,95557
Company_79,121835,245022,48605,155850,476699,85016
Company_80,80248,225506,45498,143786,481662,102171
Company_81,115606,189540,50005,180013,538019,65096
Company_82,127142,189522,56012,153508,458108,82038
Company_83,149557,190350,35561,100823,600720,81267
Company_84,109634,262302,27038,122070,385301,63961
Company_85,103830,211458,44494,145353,578670,94344
Company_86,109964,212901,37792,157749,486540,114870
Company_87,138308,230908,44918,148585,551575,79744
Company_88,126575,207163,48522,180474,504788,87575
Company_89,109404,192228,45467,101222,568373,81267
Company_90,130265,194109,64524,153589,476758,69296
Company_91,121941,197851,53267,104550,434082,52688
Company_92,139372,198883,53004,168992,585230,69413
Company_93,105958,221828,56222,147638,493191,59120
Company_94,113446,201558,38611,160490,513293,105561
Company_95,112157,221979,60391,128402,574085,78273
Company_96,90729,197578,49242,181986,438082,74811
Company_97,125922,202359,56704,176043,535729,93337
Company_98,125221,140053,39281,164588,464606,63173
Company_99,120102,227489,34462,146762,492069,68497
Company_100,115308,210394,58178,164496,504336,81021
Company_101,91692,229940,53764,132327,409986,95431
Company_102,111587,113112,40979,171388,453269,87525
Company_103,113145,262651,41303,191237,581064,83724
Company_104,103954,195812,61254,176765,553171,81171
Company_105,116774,233245,38105,131759,496241,86003
Company_106,128081,168802,66426,159035,514587,83024
Company_107,157723,218383,40993,117671,482345,64550
Company_108,123491,168397,56383,164309,581395,80691
Company_109,125151,181286,46713,161265,487978,63894
Company_110,118511,257420,56031,103254,513910,81216
Company_111,81624,194279,44558,120955,568761,72790
Company_112,119469,206522,48372,142921,453357,118090
Company_113,121204,226102,50409,142478,593527,79401
Company_114,169264,214870,39978,119763,408172,58936
Company_115,116152,204512,57408,159724,597778,77987
Company_116,126030,210948,44867,156286,477639,87790
Company_117,119305,272102,47714,145143,485438,105100
Company_118,96626,198271,40056,131105,386599,71158
Company_119,142856,206032,24376,176217,472712,56263
Company_120,135038,231519,48089,191385,437611,92252
Company_121,135820,233165,74126,137910,463541,59291
Company_122,101812,235610,57846,134695,491761,73457
Company_123,148055,219161,49807,162280,557467,76135
Company_124,91962,165709,47371,141049,512456,78955
Company_125,131737,249002,50224,146515,518460,90337
Company_126,163809,165609,55471,168491,434268,69745
Company_127,100189,209079,38191,102266,447154,75894
Company_128,108674,177371,61143,182957,607923,79785
Company_129,121993,198075,57153,151817,455887,82243
Company_130,109930,209862,57181,139712,599372,81467
Company_131,88986,209640,54384,147769,485416,86540
Company_132,121371,212657,50196,149060,500137,92657
Company_133,98753,248411,56728,106719,564221,85889
Company_134,129471,213606,55918,187373,576313,86803
Company_135,101611,192675,46459,151033,493351,56266
Company_136,150998,228922,44263,161075,476705,80753
Company_137,104334,235684,51018,173788,496644,87192
Company_138,113558,163171,65490,124470,520277,90934
Company_139,136270,217922,37608,161836,553478,69614
Company_140,95382,221035,35324,143308,500253,70114
Company_141,124549,191073,51647,171169,537133,71388
Company_142,146142,241271,50508,96819,598301,88046
Company_143,87850,195498,51733,147522,522878,95508
Company_144,123692,203767,52439,134929,518699,73888
Company_145,125197,194807,47767,160806,408865,93619
Company_146,135636,200467,64898,161751,342156,81852
Company_147,95260,167111,33990,132309,523302,78135
Company_148,93590,156798,41715,132195,494310,76829
Company_149,130438,247835,48967,147233,469113,91199
Company_150,125939,174591,33568,127583,514611,84883
Company_151,125009,170258,48241,171049,496375,114137
Company_152,126928,135398,66614,140769,567666,67216
Company_153,106399,180831,50208,77325,505166,87771
Company_154,124645,160307,52307,140629,455184,72061
Company_155,125861,249260,37398,124036,559409,66960
Company_156,105712,230294,43836,109218,486972,79836
Company_157,157315,179355,46248,119064,531592,82060
Company_158,129476,267573,46822,152735,471355,123772
Company_159,96173,229452,62816,183216,461010,77237
Company_160,133131,190255,55576,157829,505050,63047
Company_161,100506,125017,38885,134837,500769,84095
Company_162,135741,268728,52465,161397,528789,48880
Company_163,143171,158312,54982,138522,483881,78620
Company_164,103586,150638,61401,132634,389818,80240
Company_165,139267,230677,65805,121140,474033,91919
Company_166,128255,273192,39849,106204,547629,94604
Company_167,136441,241528,41891,140251,482157,72446
Company_168,157935,216917,37424,153951,485216,77740
Company_169,115092,217842,47659,147584,559182,68508
Company_170,104925,225602,54663,139600,457281,63079
Company_171,102209,222767,59873,126356,407431,84648
Company_172,103683,208435,49240,165206,490362,60896
Company_173,118457,203126,46801,117071,470949,73780
Company_174,126823,198122,51517,169400,442025,65072
Company_175,125533,177381,41648,124944,489477,88245
Company_176,136543,191579,70895,131189,529490,107021
Company_177,120260,149211,33923,113330,499442,60476
Company_178,149070,197049,51847,137464,518418,52204
Company_179,114706,170342,70236,174382,608804,78126
Company_180,174403,166892,50067,162890,479427,80235
Company_181,132513,205396,48099,174460,516700,83279
Company_182,102856,241760,46425,163053,469447,73305
Company_183,98582,227549,48196,122408,449218,76990
Company_184,129649,152884,63728,141730,464905,85512
Company_185,115530,170311,27881,130495,471274,95606
Company_186,134280,228223,65334,183264,521568,50674
Company_187,129464,170525,35760,120080,640944,74465
Company_188,118543,193261,47333,172342,457037,83207
Company_189,103064,216501,45707,172323,475002,66230
Company_190,89703,170949,55885,195740,496212,105967
Company_191,111069,203161,34018,139757,523747,70468
Company_192,137127,159979,54621,167808,515813,79380
Company_193,124281,181958,70243,207041,577045,88340
Company_194,95085,209593,36368,134558,354416,71130
